ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
390,"CEREALS,CRM OF WHEAT,2 1/2 MINUTE COOK TIME,DRY",355.0,11.61,1.41,71.79,328.0,0.253,,0.47,882.0,32.02,160.0,0.0,0.37,
391,"CEREALS RTE,GENERAL MILLS,TOTAL,CRANBERRY CRUNCH",328.0,6.9,1.72,78.0,328.0,0.414,0.0,27.59,1724.0,31.03,241.0,0.0,23.28,4.3
392,"CEREALS RTE,GENERAL MILLS,TOTAL,BLUEBERRY POMEGRANATE",353.0,9.3,3.7,76.8,195.0,0.8,0.0,21.9,2041.0,36.7,287.0,122.4,,5.1
393,"COCOA MIX,NO SUGAR ADDED,PDR",377.0,15.49,3.0,71.93,876.0,1.777,0.0,37.65,576.0,4.96,2702.0,0.0,0.04,0.0
394,"COFFEE,INST,REG,PDR,HALF THE CAFFEINE",350.0,14.42,0.5,70.6,37.0,0.197,0.0,0.0,141.0,4.41,3535.0,0.0,0.0,0.0
395,"COFFEE&COCOA (MOCHA) PDR,W/WHTNR&LO CAL SWTNR,DECAFFEINATED",257.0,9.0,13.21,71.4,500.0,11.376,0.0,34.98,60.0,3.06,1856.0,0.0,0.09,0.0
396,"COFFEE,INST,REG,PDR",241.0,12.2,0.5,41.1,37.0,0.197,0.0,0.0,141.0,4.41,3535.0,0.0,0.0,0.0
397,"COFFEE,INST,DECAFFEINATED,PDR",224.0,11.6,0.2,42.6,23.0,0.101,0.0,0.0,140.0,3.8,3501.0,0.0,0.0,0.0
398,"ACEROLA,(WEST INDIAN CHERRY),RAW",32.0,0.4,0.3,7.69,7.0,0.068,0.0,,12.0,0.2,146.0,1677.6,,
399,"ACEROLA JUICE,RAW",23.0,0.4,0.3,4.8,3.0,0.068,0.0,4.5,10.0,0.5,97.0,1600.0,0.18,
400,"COFFEE,INST,W/CHICORY,PDR",351.0,9.3,0.2,74.2,277.0,0.071,0.0,,103.0,4.76,3395.0,0.0,,
401,"COFFEE SUB,CRL GRAIN BEV,PDR",360.0,6.01,2.52,78.42,83.0,0.603,0.0,4.63,58.0,4.6,2443.0,0.0,0.98,0.0
402,"FRUIT PUNCH DRK,FRZ CONC",162.0,0.2,0.0,41.4,8.0,0.003,0.0,,8.0,0.3,44.0,155.6,,
403,"LEMONADE,LO CAL,W/ASPRT,PDR",332.0,3.6,0.3,83.7,10.0,0.039,0.0,0.0,3098.0,5.7,11.0,394.0,0.0,0.0
404,"MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR",372.0,9.41,1.33,83.59,259.0,0.679,0.0,63.38,376.0,12.7,591.0,127.0,0.06,23.5
405,"MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR",389.0,4.9,3.4,84.6,594.0,1.964,0.0,70.56,443.0,17.38,1193.0,150.1,0.03,23.8
406,"TEA,INST,UNSWTND,PDR,DECAFFEINATED",315.0,20.21,0.0,58.66,72.0,0.0,0.0,5.53,118.0,2.26,6040.0,0.0,0.0,0.0
407,"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAV,PDR,DECAFFEINATED",338.0,3.3,0.6,85.4,412.0,0.0,0.0,1.88,21.0,8.87,2568.0,0.0,0.0,0.0
