ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
226,"SNACKS,CANDY ROLLS,YOGURT-COVERED,FRUIT FLAV W/ HI VIT C",359.0,0.46,6.53,74.64,8.0,5.096,0.0,39.15,430.0,0.56,100.0,260.8,0.41,0.0
227,"FORM BAR,MARS SNACK US,SNICKERSMARATHONCHEWCHOCPNUT BAR",396.0,24.29,13.12,47.24,462.0,4.728,4.0,32.86,965.0,,,144.4,24.55,
228,"FORM BAR,MARS SNKF US,SNICKERS MARATHON MULTIGRNCRUNCH",422.0,18.49,13.18,57.27,418.0,4.794,3.0,33.04,953.0,14.67,,144.3,24.57,
229,"FORM BAR,MARS SNACK US,SNICKERS MARATHON DOUBLE CHOC NUT BAR",343.0,22.35,8.99,52.47,333.0,4.847,4.0,22.67,1495.0,17.95,,176.2,30.5,
230,"FORM BAR,MARS SNACKFOOD US,SNICKERS MARATHON HON NUT OAT BAR",378.0,22.5,7.87,54.3,318.0,4.481,,26.26,,18.15,,176.4,30.5,4.5
231,"FORM BAR,MARS SNACKFOOD US,COCOAVIA,CHOC ALMOND",347.0,7.72,14.19,51.68,260.0,4.326,2.0,27.03,1209.0,2.21,,42.5,,
232,"FORM BAR,MARS SNACK US,SNICKERS MARATHON ENERGY BAR,ALL FLAV",386.0,21.91,10.79,50.3,383.0,4.753,4.0,28.71,754.0,16.31,351.0,489.9,27.53,4.5
233,"SOY PROT ISOLATE,PROT TECHNOLOGIES INTERNATIONAL,SUPRO",388.0,87.75,4.0,0.0,1188.0,0.871,0.0,,200.0,16.0,100.0,0.0,,
234,"SOY PROT ISOLATE,PROT TECHNOLOGIES INTERNATIONAL,PROPLUS",380.0,86.0,4.0,0.0,40.0,0.4,0.0,,200.0,18.0,1600.0,0.0,,
235,"FORM BAR,MARS SNACKFOOD US,COCOAVIA,CHOC BLUEBERRY",325.0,6.21,9.27,57.87,260.0,3.87,2.0,33.4,1207.0,1.88,,42.4,,
236,"VEG OIL SPRD,37% FAT,UNSPEC OILS,W/ SALT,W/ ADDED VITAMIN D",339.0,0.51,37.77,0.66,589.0,8.637,0.0,0.0,6.0,0.02,34.0,0.1,13.45,10.7
237,"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT,W/ ADDED VITAMIN D",717.0,0.16,80.71,0.7,751.0,15.189,0.0,0.0,3.0,0.06,18.0,0.2,9.0,10.7
238,"MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT,W/ ADDED VITAMIN D",713.0,0.22,80.17,0.75,657.0,14.224,0.0,0.0,3.0,0.0,17.0,0.1,15.43,10.7
239,"VEG OIL SPRD,60% FAT,STK,W/ SALT,W/ ADDED VITAMIN D",537.0,0.12,60.39,0.69,785.0,10.884,0.0,0.0,21.0,0.0,30.0,0.1,5.0,10.7
240,"VEG OIL SPRD,60% FAT,TUB,W/ SALT,W/ ADDED VITAMIN D",533.0,0.17,59.81,0.86,785.0,12.086,1.0,0.0,21.0,0.0,30.0,0.1,21.12,10.7
241,"VEG-OIL SPRD,STICK/TUB/BOTTLE,60% FAT,W/ ADDED VITAMIN D",535.0,0.6,59.17,0.0,785.0,10.042,1.0,0.0,21.0,0.0,30.0,0.1,5.0,10.7
242,"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D",717.0,0.16,80.71,0.7,2.0,15.189,0.0,0.0,3.0,0.06,18.0,0.2,9.0,10.7
243,"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT,W/VIT D",542.0,0.17,59.81,0.86,2.0,12.086,1.0,0.0,21.0,0.0,30.0,0.1,21.12,10.7
244,"SNACKS,CANDY BITS,YOGURT COVERED W/ VIT C",415.0,0.0,7.5,86.9,75.0,1.194,3.0,65.0,500.0,0.19,338.0,180.0,0.6,0.0
245,SILK HAZELNUT CREAMER,133.0,0.0,6.67,20.0,67.0,0.0,0.0,20.0,0.0,0.0,,200.0,,
246,"WHALE,BELUGA,MEAT,DRIED (ALASKA NATIVE)",327.0,69.86,5.34,0.0,220.0,1.204,122.0,0.0,22.0,72.35,800.0,0.0,0.27,
247,"SOY FLR,FULL-FAT,RAW,CRUDE PROT BASIS (N X 6.25)",434.0,37.8,20.65,31.93,13.0,2.987,0.0,,206.0,6.37,2515.0,0.0,,0.0
248,"SOY FLR,FULL-FAT,RSTD,CRUDE PROT BASIS (N X 6.25)",439.0,38.09,21.86,30.38,12.0,3.162,0.0,,188.0,5.82,2041.0,0.0,,0.0
249,"SOY FLR,DEFATTED,CRUDE PROT BASIS (N X 6.25)",372.0,49.81,8.9,30.63,9.0,1.29,0.0,14.58,285.0,8.2,2090.0,0.0,0.55,0.0
250,"SOY FLR,LOW-FAT,CRUDE PROT BASIS (N x 6.25)",369.0,50.93,6.7,33.58,18.0,0.969,0.0,19.8,188.0,5.99,2570.0,0.0,0.19,0.0
251,"SOY MEAL,DEFATTED,RAW,CRUDE PROT BASIS (N X 6.25)",337.0,49.2,2.39,35.89,3.0,0.268,0.0,,244.0,13.7,2490.0,0.0,,0.0
252,"SOY PROT CONC,PRODUCED BY ACID WASH",331.0,58.13,0.46,30.91,900.0,0.052,0.0,20.0,363.0,10.78,450.0,0.0,,0.0
253,"SOY PROT CONC,CRUDE PROT BASIS (N X 6.25),ACID WASH",328.0,63.63,0.46,25.41,900.0,0.052,0.0,,363.0,10.78,450.0,0.0,,0.0
254,"SOY PROT ISOLATE,K TYPE",326.0,80.69,0.53,10.22,50.0,0.077,0.0,0.0,178.0,14.5,1590.0,0.0,0.0,0.0
255,"SOY PROT ISOLATE,K TYPE,CRUDE PROT BASIS",321.0,88.32,0.53,2.59,50.0,0.066,0.0,0.0,178.0,14.5,1590.0,0.0,0.0,0.0
256,"CLOUDBERRIES,RAW (ALASKA NATIVE)",51.0,2.4,0.8,8.6,,,,,18.0,0.7,,158.0,,
257,"TOFU,DRIED-FROZEN (KOYADOFU),PREP W/CA SULFATE",472.0,47.94,30.34,12.79,6.0,4.388,0.0,,2134.0,9.73,20.0,0.7,,0.0
258,"TOFU,SALTED&FERMENTED (FUYU),PREP W/CA SULFATE",116.0,8.15,8.0,5.15,2873.0,1.157,0.0,,1229.0,1.98,75.0,0.2,,0.0
259,"FISH,HERRING EGGS,PACIFIC,DRY (ALASKA NATIVE)",312.0,60.4,6.6,2.8,,,,,29.0,,,,,
260,"FISH,HERRING,PACIFIC,FLSH,AIR-DRIED,PACK OIL (ALASKA NATIVE)",489.0,44.5,34.6,0.0,,,,,,,,,,
261,"SEAL,BEARDED (OOGRUK),MEAT,DRIED (ALASKA NATIVE)",351.0,82.6,2.3,0.0,,0.6,,0.0,,49.6,,,,
262,"FISH,SALMON,KING,CHINOOK,SMOKED,BRINED (ALASKA NATIVE)",430.0,39.9,30.0,0.0,693.0,6.97,107.0,,23.0,4.5,700.0,,,
263,"WALRUS,MEAT,DRIED (ALASKA NATIVE)",251.0,57.0,2.6,0.0,,,,,,43.0,,,,
264,"WILLOW,YOUNG LEAVES,CHOPD (ALASKA NATIVE)",122.0,6.1,1.6,20.7,,,,,130.0,2.6,,190.0,,
265,"CARIBOU,RUMP MEAT,HALF DRIED (ALASKA NATIVE)",255.0,52.06,5.23,0.0,390.0,1.55,141.0,0.0,14.0,11.0,710.0,0.0,0.09,
266,"CARIBOU,SHLDR MEAT,DRIED (ALASKA NATIVE)",271.0,59.38,3.67,0.0,950.0,1.586,164.0,0.0,14.0,11.0,810.0,0.0,0.07,0.0
267,"FISH,WHITEFISH,DRIED (ALASKA NATIVE)",371.0,62.44,13.44,0.0,200.0,2.85,266.0,0.0,810.0,4.1,1080.0,0.0,0.66,
268,"FISH,SALMON,CHUM,DRIED (ALASKA NATIVE)",378.0,62.09,14.38,0.0,190.0,2.395,214.0,0.0,155.0,2.2,910.0,0.0,0.82,
269,"SEAL,BEARDED (OOGRUK),MEAT,PART DRIED (ALASKA NATIVE)",270.0,62.38,2.31,0.0,130.0,,,0.0,9.0,33.0,960.0,0.0,0.07,
270,"STEELHEAD TROUT,DRIED,FLESH (SHOSHONE BANNOCK)",382.0,77.27,8.06,0.0,2850.0,0.829,227.0,0.0,85.0,2.96,1720.0,0.0,2.41,15.7
271,"STEELHEAD TROUT,BLD,CND (ALASKA NATIVE)",159.0,21.11,8.26,0.0,118.0,1.53,59.0,0.0,30.0,0.64,365.0,0.0,2.15,15.1
272,"SMELT,DRIED (ALASKA NATIVE)",386.0,56.19,17.9,0.0,420.0,3.59,249.0,0.0,1600.0,5.4,1000.0,,4.51,
273,"SALMON,RED (SOCKEYE),FILETS W/ SKN,SMOKED (ALASKA NATIVE)",345.0,60.62,11.43,0.0,51.0,2.593,155.0,0.0,58.0,1.06,960.0,0.0,1.2,
274,"ROSE HIPS,WILD (NORTHERN PLAINS INDIANS)",162.0,1.6,0.34,38.22,4.0,,,2.58,169.0,1.06,429.0,426.0,5.84,
275,"FRUIT-FLAVORED DRK,DRY PDR MIX,LO CAL,W/ ASPRT",217.0,0.45,0.04,86.85,404.0,0.0,0.0,0.0,1047.0,0.08,498.0,560.0,0.0,0.0
276,"KALE,RAW",50.0,3.3,0.7,10.01,43.0,0.091,0.0,,135.0,1.7,447.0,120.0,,0.0
277,"MUSTARD SPINACH,(TENDERGREEN),RAW",22.0,2.2,0.3,3.9,21.0,0.015,0.0,,210.0,1.5,449.0,130.0,,0.0
278,"CEREALS RTE,POST,HONEY BUNCHES OF OATS,W/ ALMONDS",410.0,7.7,7.5,79.7,444.0,0.8,0.0,20.1,37.0,38.8,212.0,0.0,1.76,3.1
279,"PARSLEY,FRSH",36.0,2.97,0.79,6.33,56.0,0.132,0.0,0.85,138.0,6.2,554.0,133.0,0.75,0.0
